"Biomarker","AIC","BIC","Marginal_R2","Conditional_R2","RandomInterceptVar","RandomSlopeVar","ConvergenceWarning","SingularFit"
"MMSE",1801.53573211326,1847.74133302773,0.121457229648771,0.573170135411299,NA,NA,NA,NA
"SNSB_attention",1912.82692980139,1959.01019568281,0.2459161068561,0.717876472594885,NA,NA,NA,NA
"SNSB_language",-74.1688106942435,-27.9855448128281,0.340099848412723,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_visuospatial",659.928251740505,706.11151762192,0.264251044917154,NA,NA,NA,NA,NA
"SNSB_memory",4163.6951531112,4209.87841899261,0.629989080135363,NA,NA,NA,NA,NA
"SNSB_frontal",4420.35181611013,4466.53508199155,0.555326504660171,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"bmi",1798.79948113374,1845.00508204821,0.0208289702044065,0.953769119383181,NA,NA,NA,NA
"whr",-1755.86400846726,-1709.68074258585,0.218048593561082,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"pbcm",2372.75602728281,2418.96162819728,0.431943525912468,0.924686370374934,NA,NA,NA,NA
"pbf",2792.9268912087,2839.13249212317,0.408833830329813,0.924406372805612,NA,NA,NA,NA
"bmr",5376.78650956703,5422.9921104815,0.700676801116813,0.970480639049299,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"icw",1582.39155170566,1628.59715262013,0.959474785425211,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"ecw",1089.90605414485,1136.11165505932,0.689396944712653,0.974453596881857,NA,NA,NA,NA
"tbw",2031.87211142134,2078.07771233581,0.704498277672493,0.972427355218036,NA,NA,NA,NA
"protein",774.445559734758,820.651160649228,0.956943343432809,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"smm",1842.67890247302,1888.88450338749,0.959723670105534,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"amc",1281.05378058821,1327.25938150268,0.91999555186489,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"ECW_TBW_upper",-4150.16328750983,-4103.95768659536,0.111142392954781,NA,NA,NA,NA,NA
"ECW_TBW_lower",-3582.04530506768,-3535.83970415321,0.414416754649629,NA,NA,NA,NA,NA
"R_upper",4415.28926538768,4461.49486630215,0.623332865431921,0.939191974505977,NA,NA,NA,NA
"R_lower",4429.0735010258,4475.27910194027,0.322015550336796,0.834720542167777,NA,NA,NA,NA
"Xc_upper",2473.60026160815,2519.80586252262,0.202575656433764,0.774312293299456,NA,NA,NA,NA
"Xc_lower",2459.6078047078,2505.81340562227,0.117692735214227,0.796110958702486,NA,NA,NA,NA
"PA_upper",580.207390459967,626.412991374437,0.293892790856804,0.849597832169625,NA,NA,NA,NA
"PA_lower",806.747668180708,852.953269095178,0.184568563356677,0.859810131296958,NA,NA,NA,NA
"SW_upper",-485.714482818773,-439.508881904304,0.962161992086885,NA,NA,NA,NA,NA
"SW_lower",486.137875821204,532.343476735674,0.649511398435598,0.973243422174991,NA,NA,NA,NA
"SL_upper",-241.687286562593,-195.481685648124,0.962423014835056,NA,NA,NA,NA,NA
"SL_lower",720.545066138097,766.750667052566,0.651239949398572,0.973662424188906,NA,NA,NA,NA
"R5_upper",4517.8096141108,4564.01521502527,0.888850782973088,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"R5_lower",4561.87319796923,4608.0787988837,0.285042877900201,0.812600310774111,NA,NA,NA,NA
"Xc5_upper",2003.97479993299,2050.18040084746,0.092420660638873,0.723063530381117,NA,NA,NA,NA
"Xc5_lower",1975.58759518964,2021.79319610411,0.0889720371061028,0.66999468972122,NA,NA,NA,NA
"z1_upper",4537.4859729963,4583.69157391077,0.601656603073097,0.923592640597651,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"z1_lower",4588.5604895473,4634.76609046177,0.282709839938485,0.806352594789531,NA,NA,NA,NA
"z5_upper",4517.8096141108,4564.01521502527,0.888850782973088,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"z5_lower",4561.87319796923,4608.0787988837,0.285042877900201,0.812600310774111,NA,NA,NA,NA
